date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2018-12-16 07:35:26;26.3368473052979;22.9375;8.375;;0;0;0;0;
2018-12-16 07:45:26;28.977481842041;23.25;7.5;;0;0;0;0;
2018-12-16 07:55:26;29.672384262085;23.5;7.625;;0;0;0;0;
2018-12-16 08:05:26;30.9232120513916;23.625;8;;0;0;0;0;
2018-12-16 08:15:26;30.228307723999;23.625;7.5625;;0;0;0;0;
2018-12-16 08:25:26;31.479133605957;23.625;7.4375;;0;0;0;0;
2018-12-16 08:35:26;29.672384262085;23.625;7.5;;0;0;0;0;
2018-12-16 08:45:26;30.9232120513916;23.625;7.25;;0;0;0;0;
2018-12-16 08:55:26;31.3401527404785;23.75;7.125;;0;0;0;0;
2018-12-16 09:05:26;29.3944225311279;23.6875;7.1875;;0;0;0;0;
2018-12-16 09:15:26;30.7842311859131;23.75;7.9375;;0;0;0;0;
2018-12-16 09:25:26;29.3944225311279;23.875;8.125;;0;0;0;0;
2018-12-16 09:35:26;32.0350570678711;23.75;7.625;;0;0;0;0;
2018-12-16 09:45:26;31.0621929168701;23.75;8;;0;0;0;0;
2018-12-16 09:55:26;30.7842311859131;23.8125;8.125;;0;0;0;0;
2018-12-16 10:05:26;31.7570953369141;23.8125;8.25;;0;0;0;0;
2018-12-16 10:15:26;29.5334033966064;23.875;8.375;;0;0;0;0;
2018-12-16 10:25:26;32.5909805297852;23.75;7.875;;0;0;0;0;
2018-12-16 10:35:26;31.0621929168701;23.5;7.5;;0;0;0;0;
2018-12-16 10:45:26;29.672384262085;23.25;7.75;;0;0;0;0;
2018-12-16 10:55:26;27.4486923217773;23.125;7.75;;0;0;0;0;
2018-12-16 11:05:26;26.4758281707764;22.9375;8.0625;;0;0;0;0;
2018-12-16 11:15:26;26.0588855743408;22.875;7.9375;;0;0;0;0;
2018-12-16 11:25:26;27.1707324981689;22.875;8.5;;0;0;0;0;
2018-12-16 11:35:26;25.7809238433838;22.75;8.5;;0;0;0;0;
2018-12-16 11:45:26;25.3639831542969;22.8125;8.5625;;0;0;0;0;
2018-12-16 11:55:26;27.0317516326904;22.875;8.875;;0;0;0;0;
2018-12-16 12:05:26;26.7537899017334;22.875;8.6875;;0;0;0;0;
2018-12-16 12:15:26;25.5029640197754;22.875;9.125;;0;0;0;0;
2018-12-16 12:25:26;26.6148090362549;22.8125;9.125;1.94446093415561;1;1;1;0;
2018-12-16 12:35:26;25.3639831542969;22.75;9;1.89444345113628;1;1;1;0;
2018-12-16 12:45:26;26.1978664398193;22.625;9.1875;1.91257880441275;1;1;1;0;
