tint,text,q
22.30551,16.41436,-1.298738
22.30551,16.43086,-1.365057
22.30551,16.43086,-1.442428
22.27609,16.40128,-1.365057
22.27609,16.40953,-1.354003
22.27609,16.43428,-1.326371
22.27609,16.43428,-1.387163
22.27609,16.45904,-1.326371
22.27609,16.48379,-1.365057
22.27609,16.50029,-1.370583
22.27609,16.50029,-1.354003
22.27609,16.51679,-1.309791
22.27609,16.53329,-1.337424
22.24667,16.51196,-1.287685
22.24667,16.52846,-1.309791
22.24667,16.53671,-1.337424
22.24667,16.52021,-1.298738
22.24667,16.53671,-1.309791
22.24667,16.52021,-1.387163
22.24667,16.56971,-1.320844
22.24667,16.58621,-1.337424
22.24667,16.56971,-1.265579
22.24667,16.60271,-1.293211
22.24667,16.61096,-1.34295
22.24667,16.68521,-1.254526
22.23846,16.68521,-1.298738
22.21725,16.68863,-1.282158
22.20904,16.67213,-1.304265
22.20904,16.68038,-1.276632
22.21725,16.66388,-1.282158
22.20904,16.66388,-1.34295
22.21725,16.68863,-1.271105
22.20904,16.68863,-1.315318
22.21725,16.72163,-1.34295
22.21725,16.74637,-1.331897
22.23366,16.75462,-1.387163
22.21725,16.73812,-1.37611
22.22545,16.72987,-1.331897
22.18782,16.72504,-1.282158
22.18782,16.7003,-1.320844
22.18782,16.74154,-1.315318
22.18782,16.79103,-1.304265
22.19603,16.81577,-1.337424
22.19603,16.82402,-1.271105
22.18782,16.80753,-1.237946
22.18782,16.84052,-1.254526
22.18782,16.85702,-1.254526
22.17962,16.85702,-1.232419
22.17962,16.86526,-1.254526
22.15019,16.86043,-1.309791
22.15019,16.85218,-1.304265
22.15019,16.85218,-1.315318
22.15019,16.87693,-1.265579
22.15019,16.86043,-1.298738
22.15019,16.86868,-1.204787
22.14198,16.87693,-1.276632
22.15019,16.93466,-1.304265
22.15019,16.95115,-1.326371
22.15019,16.94291,-1.19926
22.14198,16.94291,-1.232419
22.11257,16.92159,-1.287685
22.11257,16.91334,-1.232419
22.11257,16.79787,-1.265579
22.11257,16.5834,-1.276632
22.12077,16.5504,-1.232419
22.12077,16.59165,-1.320844
22.12077,16.6329,-1.232419
22.12898,16.65764,-1.276632
22.11257,16.71539,-1.265579
22.12077,16.6329,-1.276632
22.12077,16.36062,-1.254526
22.12898,16.28635,-1.298738
22.12077,16.30286,-1.237946
22.12077,16.38538,-1.293211
22.09955,16.41355,-1.309791
22.09955,16.43831,-1.309791
22.09955,16.43831,-1.309791
22.09955,16.19074,-1.298738
22.09955,16.1082,-1.232419
22.09955,16.14122,-1.232419
22.09955,16.20725,-1.309791
22.09955,16.25676,-1.248999
22.09955,16.32278,-1.315318
22.09955,16.38054,-1.298738
22.09955,16.14122,-1.271105
22.07013,15.94654,-1.254526
22.07013,15.96305,-1.254526
22.07013,16.01258,-1.265579
22.07013,16.09512,-1.265579
22.07013,16.16115,-1.248999
22.07013,16.21067,-1.265579
22.07013,16.03734,-1.271105
22.07013,15.86398,-1.298738
22.07834,15.85572,-1.237946
22.07013,15.91351,-1.298738
22.07013,15.99607,-1.34295
22.05118,16.08432,-1.276632
22.04297,15.98526,-1.254526
22.04297,15.77061,-1.315318
22.05118,15.7541,-1.287685
22.04297,15.82015,-1.276632
22.04297,15.8862,-1.260052
22.04297,15.9605,-1.254526
22.04297,16.01828,-1.309791
22.01355,15.92265,-1.232419
22.01355,15.69147,-1.282158
22.02176,15.65018,-1.287685
22.01355,15.70798,-1.243473
22.01355,15.77404,-1.282158
22.02176,15.8566,-1.287685
22.01355,15.91439,-1.237946
22.01355,15.91439,-1.315318
22.02996,15.65018,-1.271105
22.02996,15.6254,-1.298738
22.02996,15.66669,-1.293211
22.02996,15.74101,-1.243473
22.02996,15.80706,-1.260052
22.02176,15.86485,-1.271105
22.02996,15.93915,-1.243473
22.00055,15.65361,-1.298738
21.99234,15.59581,-1.254526
22.00055,15.66187,-1.309791
21.99234,15.73618,-1.260052
21.99234,15.8105,-1.298738
22.00055,15.87654,-1.237946
22.00055,15.72793,-1.243473
22.00055,15.56277,-1.243473
22.00055,15.57929,-1.232419
21.97112,15.59923,-1.265579
21.97112,15.66529,-1.260052
21.97112,15.73961,-1.282158
21.97933,15.79741,-1.265579
21.97112,15.66529,-1.287685
21.97112,15.46709,-1.276632
21.97112,15.48361,-1.254526
21.97933,15.54968,-1.282158
21.97933,15.62401,-1.265579
21.97933,15.69833,-1.260052
21.97933,15.76438,-1.221366
21.98754,15.71484,-1.309791
21.95812,15.48705,-1.254526
21.95812,15.45401,-1.254526
21.95812,15.50356,-1.254526
21.95812,15.56963,-1.260052
21.95812,15.65221,-1.243473
21.95812,15.71827,-1.293211
21.95812,15.73479,-1.237946
21.96633,15.48705,-1.271105
21.95812,15.43749,-1.254526
